gamma_ps_inv,r_nm,eta,mean_trapping_time_ps
0.05,1.0,0.9891704700981427,2.0539573056612044
4.257894736842105,1.0,0.9893044333445989,2.053275778511342
8.465789473684211,1.0,0.9893765372313796,2.0528726630681184
12.673684210526316,1.0,0.9894067652247729,2.052696997561535
16.88157894736842,1.0,0.9894088929402319,2.052703642157397
21.089473684210528,1.0,0.9893909589416405,2.052856929915932
25.29736842105263,1.0,0.9893544082610326,2.0531399876126963
29.505263157894735,1.0,0.9893122873660074,2.05351907874638
33.71315789473684,1.0,0.9892629653140983,2.0539840585299207
37.921052631578945,1.0,0.9892085960604063,2.0545234147505327
42.12894736842105,1.0,0.9891560911341024,2.055122159565325
46.33684210526315,1.0,0.9891033755290577,2.0557719579427056
50.54473684210526,1.0,0.9890523093503284,2.0564674552334203
54.752631578947366,1.0,0.9890004106113156,2.057204033531016
58.960526315789465,1.0,0.988952303812043,2.057973565889131
63.16842105263157,1.0,0.9889082228448066,2.058770053507169
67.37631578947368,1.0,0.9888678653140942,2.059591030012768
71.58421052631579,1.0,0.9888312995640708,2.0604334443090275
75.7921052631579,1.0,0.9887988163788848,2.0612945924143182
80.0,1.0,0.9887699961534814,2.0621718714195647
0.05,1.2105263157894737,0.9974113607146801,2.0718796068012253
4.257894736842105,1.2105263157894737,0.9974027333477061,2.0688267619603757
8.465789473684211,1.2105263157894737,0.9973893788320259,2.0671365187337005
12.673684210526316,1.2105263157894737,0.9973706623187947,2.066429215727129
16.88157894736842,1.2105263157894737,0.9973455005534002,2.06644971951972
21.089473684210528,1.2105263157894737,0.9973116597776694,2.0670260229198387
25.29736842105263,1.2105263157894737,0.9972655590560804,2.068035585750489
29.505263157894735,1.2105263157894737,0.9972043668486138,2.0693888370809423
33.71315789473684,1.2105263157894737,0.9971294054023121,2.071016757141462
37.921052631578945,1.2105263157894737,0.9970459398559697,2.0728633605664424
42.12894736842105,1.2105263157894737,0.9969562552144372,2.0748792992716147
46.33684210526315,1.2105263157894737,0.9968576123657857,2.0770419270126643
50.54473684210526,1.2105263157894737,0.996745887395806,2.0793329137969305
54.752631578947366,1.2105263157894737,0.9966183900640009,2.081741135707768
58.960526315789465,1.2105263157894737,0.996471601128903,2.0842434694796768
63.16842105263157,1.2105263157894737,0.996302599855775,2.0868636933432603
67.37631578947368,1.2105263157894737,0.9961056927370028,2.0896166321499297
71.58421052631579,1.2105263157894737,0.995865957108833,2.092432050805985
75.7921052631579,1.2105263157894737,0.9955834561432328,2.0953873522758144
80.0,1.2105263157894737,0.9952511302753968,2.0984558328352323
0.05,1.4210526315789473,0.997653809735884,2.1890334899179527
4.257894736842105,1.4210526315789473,0.9976929269488272,2.161042013538677
8.465789473684211,1.4210526315789473,0.9977099596321736,2.146290972966345
12.673684210526316,1.4210526315789473,0.9977172892867554,2.1384978179996197
16.88157894736842,1.4210526315789473,0.997719120479073,2.134714015132346
21.089473684210528,1.4210526315789473,0.9977178707174265,2.1334028941943393
25.29736842105263,1.4210526315789473,0.9977121708936623,2.133678180315969
29.505263157894735,1.4210526315789473,0.9977084700899531,2.1350980777505533
33.71315789473684,1.4210526315789473,0.9976956012855085,2.137232554007321
37.921052631578945,1.4210526315789473,0.9976829209785003,2.139978047394963
42.12894736842105,1.4210526315789473,0.9976668728196768,2.143165313364934
46.33684210526315,1.4210526315789473,0.9976606907462134,2.146792278978503
50.54473684210526,1.4210526315789473,0.9976420467356026,2.1506079279816652
54.752631578947366,1.4210526315789473,0.9976095938120539,2.1545472259802674
58.960526315789465,1.4210526315789473,0.9975905139314343,2.1587763507822735
63.16842105263157,1.4210526315789473,0.9975702054903081,2.1631717140426825
67.37631578947368,1.4210526315789473,0.9975716367599196,2.1678581499610865
71.58421052631579,1.4210526315789473,0.9975247790146266,2.172383160672601
75.7921052631579,1.4210526315789473,0.9975004008778059,2.1771683885117072
80.0,1.4210526315789473,0.9974745920415728,2.1820586644171365
0.05,1.631578947368421,0.9973973768389179,2.4325286476522696
4.257894736842105,1.631578947368421,0.9976037077662019,2.30785355998865
8.465789473684211,1.631578947368421,0.9976662304709075,2.2584799170163863
12.673684210526316,1.631578947368421,0.9976936641581907,2.235986252448768
16.88157894736842,1.631578947368421,0.9977076982164437,2.2255305221511352
21.089473684210528,1.631578947368421,0.9977160366526961,2.2214093632317873
25.29736842105263,1.631578947368421,0.9977036584935358,2.2209363817765504
29.505263157894735,1.631578947368421,0.9977000512429757,2.2230224483877987
33.71315789473684,1.631578947368421,0.9976941297590723,2.2268539576497193
37.921052631578945,1.631578947368421,0.9976862589070966,2.231992357759442
42.12894736842105,1.631578947368421,0.997676216966949,2.238153725973701
46.33684210526315,1.631578947368421,0.9976643144937022,2.245141869105195
50.54473684210526,1.631578947368421,0.9976508269387977,2.252815216730307
54.752631578947366,1.631578947368421,0.9976821396130415,2.2612909259545657
58.960526315789465,1.631578947368421,0.9976222607226304,2.2698134585086414
63.16842105263157,1.631578947368421,0.9976078041598998,2.2789909490496507
67.37631578947368,1.631578947368421,0.997592721743027,2.2885475730156983
71.58421052631579,1.631578947368421,0.9975767491335514,2.298440678574945
75.7921052631579,1.631578947368421,0.9975600558567527,2.3086340405792978
80.0,1.631578947368421,0.9975878166069746,2.319319974616561
0.05,1.8421052631578947,0.9965967619991807,2.879867756601963
4.257894736842105,1.8421052631578947,0.9974182509279705,2.500607277677305
8.465789473684211,1.8421052631578947,0.9975563468082833,2.3953142456141343
12.673684210526316,1.8421052631578947,0.9975906469129477,2.35461857233758
16.88157894736842,1.8421052631578947,0.9976095474453273,2.337595421074348
21.089473684210528,1.8421052631578947,0.9976156633764439,2.3320502236900005
25.29736842105263,1.8421052631578947,0.9976666955093169,2.333542968167262
29.505263157894735,1.8421052631578947,0.9976623170612403,2.3393564960372357
33.71315789473684,1.8421052631578947,0.9975975236096769,2.3482336787401294
37.921052631578945,1.8421052631578947,0.9975844002684534,2.3599081028943223
42.12894736842105,1.8421052631578947,0.9975687569263602,2.373605979399739
46.33684210526315,1.8421052631578947,0.9975508754384234,2.388952640873215
50.54473684210526,1.8421052631578947,0.997531048510103,2.4056680153753343
54.752631578947366,1.8421052631578947,0.9975097423707051,2.4235359006148895
58.960526315789465,1.8421052631578947,0.9975330759664042,2.4426147414054236
63.16842105263157,1.8421052631578947,0.9974645355274677,2.462080151856792
67.37631578947368,1.8421052631578947,0.9974945208459982,2.4827627485367056
71.58421052631579,1.8421052631578947,0.9974160429985454,2.503579893500151
75.7921052631579,1.8421052631578947,0.997390392989827,2.5252169669612616
